328854379425853441	positive	Gleich in Braunschweig mit Kamaraden Treffen :)	gleich in Braunschweig mit Kamaraden Treffen :)	ADJD APPR NE APPR ADJA NN ADJD	0/-- 1/MO 2/NK 7/MO 6/NK 4/NK 1/PD	Sentiment::markable_208::Intensity=medium|Target::markable_209::Anaphref=empty|Sentiment::markable_208::Sarcasm=false|Sentiment::markable_208::Polarity=positive|Sentiment::markable_208::Sentiment=True|Target::markable_209::Preferred=true|Target::markable_209::Target=True Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True case=dat|num=pl|Target::markable_209::Target=True|gender=fem|Sentiment::markable_208::Sentiment=True|pos=True case=dat|gender=fem|num=pl|Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|Sentiment::markable_208::Sentiment=True|EmoExpression::markable_1::Intensity=medium
323396666264801280	negative	Wird wohl nichts mit der @energy_ch #energyfashionshow dieses Jahr. Kann man ja keine Tickets kaufen und habe keine gewonnen :((((((	werden wohl nichts mit die @energy_ch #energyfashionshow dies Jahr. können man ja keine Ticket kaufen und haben keine gewonnen :((((((	VAFIN ADV PIS APPR ART ADJA NN PDAT NN VMFIN PIS ADV PIAT NN VVINF KON VAFIN PIAT ADJD ADJA	0/-- 3/MO 1/SB 1/MO 6/NK 4/NK 0/-- 9/NK 7/NK 0/-- 10/SB 10/MO 14/NK 15/OA 10/OC 10/CD 16/CJ 19/NK 20/MO 17/OC	mood=ind|EmoExpression::markable_104012283::EmoExpression=True|EmoExpression::markable_104012283::SubjectiveFact=false|pers=3|EmoExpression::markable_104012283::Sarcasm=false|num=sg|tense=pres|EmoExpression::markable_104012283::Polarity=negative|EmoExpression::markable_104012283::Uncertain=false|EmoExpression::markable_104012283::Intensity=medium EmoExpression::markable_104012283::EmoExpression=True gender=neut|*=True|EmoExpression::markable_104012283::EmoExpression=True _ case=dat|gender=fem|num=sg *=True|pos=True case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg Target::markable_52::Anaphref=empty|Target::markable_52::Preferred=true|mood=ind|Sentiment::markable_50::Intensity=strong|Sentiment::markable_50::Sentiment=True|pers=3|num=sg|tense=pres|Sentiment::markable_50::Polarity=negative|Target::markable_52::Target=True|Sentiment::markable_50::Sarcasm=false case=nom|*=True|Sentiment::markable_50::Sentiment=True|num=sg|Target::markable_52::Target=True Sentiment::markable_50::Sentiment=True|Target::markable_52::Target=True case=acc|gender=masc|Sentiment::markable_50::Sentiment=True|num=pl|Target::markable_52::Target=True case=acc|gender=masc|Sentiment::markable_50::Sentiment=True|num=pl|Target::markable_52::Target=True Sentiment::markable_50::Sentiment=True|Target::markable_52::Target=True Sentiment::markable_50::Sentiment=True|Target::markable_52::Target=True pers=3|num=sg|tense=pres|mood=subj|Sentiment::markable_50::Sentiment=True|Target::markable_52::Target=True case=acc|gender=fem|Sentiment::markable_50::Sentiment=True|num=pl|Target::markable_52::Target=True EmoExpression::markable_234::EmoExpression=True|EmoExpression::markable_234::Sarcasm=false|Sentiment::markable_50::Sentiment=True|EmoExpression::markable_234::Polarity=positive|EmoExpression::markable_234::SubjectiveFact=false|EmoExpression::markable_234::Intensity=medium|EmoExpression::markable_234::Uncertain=false|Target::markable_52::Target=True case=acc|EmoExpression::markable_51::Uncertain=false|EmoExpression::markable_51::Polarity=negative|Sentiment::markable_50::Sentiment=True|*=True|pos=True|EmoExpression::markable_51::SubjectiveFact=false|num=pl|EmoExpression::markable_51::EmoExpression=True|EmoExpression::markable_51::Sarcasm=false|EmoExpression::markable_51::Intensity=strong
320138671812669440	positive	Warten, bis Software den Aktualisierungschlüssel findet ;-) ...	Warten, bis Software die Aktualisierungschlüssel finden ;-) ...	NE KON NE ART NN VVFIN $( $.	6/SB 1/CD 2/CJ 5/NK 6/OA 0/-- 6/-- 7/--	case=nom|gender=neut|num=sg _ case=nom|gender=fem|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_53::Sarcasm=false|EmoExpression::markable_53::EmoExpression=True|EmoExpression::markable_53::Uncertain=false|EmoExpression::markable_53::Intensity=medium|EmoExpression::markable_53::SubjectiveFact=false|EmoExpression::markable_53::Polarity=positive _
324929855475032065	positive	Jess! Man endlich auch draussen wieder... ;-) http://t.co/YwfKtF9wDf	Jess! man endlich auch draußen wieder... ;-) http://t.co/YwfKtF9wDf	NN PIS ADV ADV ADV ADJA $( NN	0/-- 6/SB 6/MO 5/MO 6/MO 0/-- 8/-- 0/--	case=nom|gender=masc|num=sg|Sentiment::markable_235::Sentiment=True|EmoExpression::markable_236::EmoExpression=True case=nom|*=True|num=sg|Sentiment::markable_235::Sentiment=True EmoExpression::markable_237::Uncertain=false|EmoExpression::markable_237::EmoExpression=True|EmoExpression::markable_237::Polarity=positive|EmoExpression::markable_237::SubjectiveFact=false|Sentiment::markable_235::Sentiment=True|EmoExpression::markable_237::Intensity=medium|EmoExpression::markable_237::Sarcasm=false Sentiment::markable_235::Sentiment=True Target::markable_238::Anaphref=empty|Target::markable_238::Preferred=true|Sentiment::markable_235::Sentiment=True|Target::markable_238::Target=True Sentiment::markable_235::Sentiment=True EmoExpression::markable_54::EmoExpression=True|EmoExpression::markable_54::SubjectiveFact=false|EmoExpression::markable_54::Uncertain=false|EmoExpression::markable_54::Polarity=positive|Sentiment::markable_235::Sentiment=True|EmoExpression::markable_54::Sarcasm=false|EmoExpression::markable_54::Intensity=medium case=nom|gender=masc|num=pl
318485023886020609	positive	@smooney14 die Macht der P's. DER P's. ;-)	@smooney14 die Macht die P's. DER P's. ;-)	NN ART NN ART NN NE NE $(	0/-- 3/NK 0/-- 5/NK 3/AG 7/PNC 5/NK 7/--	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_55::EmoExpression=True|EmoExpression::markable_55::Uncertain=false|EmoExpression::markable_55::Intensity=medium|EmoExpression::markable_55::Sarcasm=false|EmoExpression::markable_55::SubjectiveFact=false|EmoExpression::markable_55::Polarity=positive
326966048672870400	positive	@na_Kuh das ist normal, da der Bauch beim laufen auch beansprucht wird. Wenn du längere Zeit läufst wirst du aber keinen mehr bekommen :)	@na_Kuh die sein normal, da die Bauch bei laufen auch beanspruchen wird. wenn du lang Zeit laufen werden du aber keine mehr bekommen :)	NN PDS VAFIN NE ADV ART NN APPRART VVFIN ADV VVFIN TRUNC KOUS PPER ADJA NN VVFIN VAFIN PPER ADV PIAT PIS VVFIN ADJA	0/-- 3/SB 0/-- 3/SB 3/MO 7/NK 3/PD 7/MNR 11/MO 9/MO 8/NK 11/SB 18/CP 18/SB 16/NK 17/SB 18/OC 0/-- 18/SB 23/MO 22/NK 23/OA 18/OC 23/MO	case=nom|gender=masc|num=sg case=nom|Sentiment::markable_57::Sarcasm=false|gender=neut|Sentiment::markable_57::Polarity=positive|Target::markable_59::Preferred=true|num=sg|Target::markable_59::Anaphref=empty|Sentiment::markable_57::Intensity=medium|Target::markable_59::Target=True|Sentiment::markable_57::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_57::Sentiment=True case=nom|gender=neut|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=dat|gender=neut|num=sg pers=3|num=pl|tense=pres|mood=ind _ _ _ _ case=nom|*=True|num=sg|pers=2 case=acc|gender=fem|num=sg|comp=True case=acc|gender=fem|num=sg _ pers=2|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg|pers=2 _ case=acc|gender=masc|num=sg *=True pers=3|num=pl|tense=pres|mood=ind case=acc|EmoExpression::markable_56::Intensity=medium|EmoExpression::markable_56::EmoExpression=True|gender=masc|pos=True|EmoExpression::markable_56::Polarity=positive|EmoExpression::markable_56::Sarcasm=false|EmoExpression::markable_56::SubjectiveFact=false|num=sg|EmoExpression::markable_56::Uncertain=false
328589288935669760	mixed	Clara (13) frisst weil sie traurig ist, das sie so fett ist.	Clara (13) fressen weil sie traurig ist, die sie so fett ist.	NE NN VVFIN KOUS PPER ADJD VVFIN PDS PPER ADV ADJD NE	2/PNC 3/SB 0/-- 7/CP 7/SB 7/MO 2/APP 7/SB 3/SB 11/MO 3/MO 3/OA	case=nom|Sentiment::markable_100500282::Sentiment=True|gender=fem|Target::markable_100500282::Anaphref=empty|num=sg|Sentiment::markable_100500282::Sarcasm=false|Sentiment::markable_100500282::Polarity=negative|Target::markable_100500282::Target=True|Sentiment::markable_100500282::Intensity=strong|Target::markable_100500282::Preferred=true case=nom|gender=fem|Sentiment::markable_100500282::Sentiment=True|num=sg Sentiment::markable_100500282::Sentiment=True|mood=ind|EmoExpression::markable_100500282::EmoExpression=True|pers=3|EmoExpression::markable_100500282::SubjectiveFact=false|num=sg|tense=pres|EmoExpression::markable_100500282::Sarcasm=false|EmoExpression::markable_100500282::Polarity=negative|EmoExpression::markable_100500282::Uncertain=false|EmoExpression::markable_100500282::Intensity=strong Sentiment::markable_100500282::Sentiment=True case=nom|Sentiment::markable_100500282::Sentiment=True|Sentiment::markable_100500285::Sentiment=True|Sentiment::markable_100500285::Sarcasm=false|gender=fem|Sentiment::markable_100500285::Polarity=positive|pers=3|num=sg|Source::markable_100500285::Source=True|Source::markable_100500285::Anaphref=empty|Sentiment::markable_100500285::Intensity=medium EmoExpression::markable_100500285::Uncertain=false|Sentiment::markable_100500282::Sentiment=True|EmoExpression::markable_100500285::Polarity=negative|EmoExpression::markable_100500285::Sarcasm=false|Sentiment::markable_100500285::Sentiment=True|pos=True|EmoExpression::markable_100500285::Intensity=medium|EmoExpression::markable_100500285::SubjectiveFact=false|EmoExpression::markable_100500285::EmoExpression=True Sentiment::markable_100500282::Sentiment=True|Sentiment::markable_100500285::Sentiment=True case=acc|gender=neut|Sentiment::markable_100500282::Sentiment=True|num=sg|Sentiment::markable_100500285::Sentiment=True case=nom|Sentiment::markable_100500282::Sentiment=True|Sentiment::markable_100500285::Sentiment=True|Target::markable_100500285::Anaphref=empty|*=True|Target::markable_100500285::Preferred=true|pers=3|num=pl|Target::markable_100500285::Target=True Sentiment::markable_100500282::Sentiment=True|Target::markable_100500285::Target=True|Sentiment::markable_100500285::Sentiment=True Sentiment::markable_100500282::Sentiment=True|EmoExpression::markable_100500288::Sarcasm=false|EmoExpression::markable_100500288::EmoExpression=True|Sentiment::markable_100500285::Sentiment=True|EmoExpression::markable_100500288::SubjectiveFact=false|pos=True|EmoExpression::markable_100500288::Polarity=negative|Target::markable_100500285::Target=True|EmoExpression::markable_100500288::Uncertain=false|EmoExpression::markable_100500288::Intensity=strong case=nom|*=True|Sentiment::markable_100500282::Sentiment=True|num=sg|Sentiment::markable_100500285::Sentiment=True
323012442496065536	neutral	@AngeloutsideRK gibt’s heute Abend wenn ich die verbandfolie abmachen darf	@AngeloutsideRK gibt’s heute abend wenn ich die verbandfolie abmachen dürfen	NN VVFIN ADV ADV KOUS PPER ART NN VVINF VMFIN	0/-- 10/MO 2/MO 10/MO 10/CP 10/SB 8/NK 9/OA 10/OC 0/--	case=nom|gender=fem|num=sg _ _ case=acc|gender=masc|num=sg _ case=nom|*=True|num=sg|pers=1 case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind
321218364263522304	mixed	Ich bin gerade voll traurig .. Weil ich nicht bei justin bieber sein kann .. Ich vermisse ihn so ..	ich sein gerade voll traurig .. weil ich nicht bei justin bieber sein können .. ich vermissen er so ..	PPER VAFIN ADV ADJD ADJD ADJA KOUS PPER PTKNEG APPR ADJA NN VAINF VMFIN NN PPER VVFIN PPER ADV ADJA	2/SB 0/-- 2/MO 5/MO 6/MO 2/MO 14/CP 14/SB 14/NG 13/MO 12/NK 10/NK 14/OC 0/-- 13/PD 17/SB 0/-- 17/OA 20/MO 17/MO	case=nom|Sentiment::markable_65::Polarity=negative|Sentiment::markable_65::Intensity=strong|Source::markable_66::Anaphref=empty|Sentiment::markable_65::Sentiment=True|Sentiment::markable_65::Sarcasm=false|*=True|pers=1|num=sg|Source::markable_66::Source=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_65::Sentiment=True Sentiment::markable_65::Sentiment=True Intensifier::markable_68::Degree=strong|Intensifier::markable_68::Intensifier=True|Intensifier::markable_68::EmoExpressionRef=emo-expression:markable_67|pos=True|Sentiment::markable_65::Sentiment=True Sentiment::markable_65::Sentiment=True|EmoExpression::markable_67::Uncertain=false|EmoExpression::markable_67::SubjectiveFact=false|EmoExpression::markable_67::EmoExpression=True|pos=True|EmoExpression::markable_67::Polarity=negative|EmoExpression::markable_67::Sarcasm=false|EmoExpression::markable_67::Intensity=medium case=dat|gender=masc|num=sg|pos=True|Sentiment::markable_65::Sentiment=True Sentiment::markable_65::Sentiment=True case=nom|Sentiment::markable_65::Sentiment=True|Target::markable_69::Target=True|Target::markable_69::Preferred=true|*=True|Target::markable_69::Anaphref=empty|pers=1|num=sg Target::markable_69::Target=True|Sentiment::markable_65::Sentiment=True Target::markable_69::Target=True|Sentiment::markable_65::Sentiment=True Target::markable_69::Target=True|Sentiment::markable_65::Sentiment=True Target::markable_69::Target=True|Sentiment::markable_65::Sentiment=True Target::markable_69::Target=True|Sentiment::markable_65::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_65::Sentiment=True|Target::markable_69::Target=True case=nom|gender=fem|num=sg|Sentiment::markable_65::Sentiment=True case=nom|Source::markable_74::Source=True|Sentiment::markable_70::Sentiment=True|Sentiment::markable_70::Polarity=positive|*=True|pers=1|num=sg|Sentiment::markable_70::Intensity=strong|Source::markable_74::Anaphref=empty|Sentiment::markable_70::Sarcasm=false EmoExpression::markable_71::Intensity=medium|mood=ind|Sentiment::markable_70::Sentiment=True|EmoExpression::markable_71::Polarity=positive|pers=1|EmoExpression::markable_71::Uncertain=false|num=sg|tense=pres|EmoExpression::markable_71::Sarcasm=false|EmoExpression::markable_71::EmoExpression=True|EmoExpression::markable_71::SubjectiveFact=false case=acc|Target::markable_73::Preferred=true|Sentiment::markable_70::Sentiment=True|gender=masc|pers=3|Target::markable_73::Anaphref=empty|num=sg|Target::markable_73::Target=True Sentiment::markable_70::Sentiment=True|Intensifier::markable_72::Degree=strong|Intensifier::markable_72::Intensifier=True|Intensifier::markable_72::EmoExpressionRef=empty case=gen|gender=masc|num=pl|Sentiment::markable_70::Sentiment=True|comp=True
327792755248078850	positive	RT @reichelt_el: Wir freuen uns wieder über Eure #ff-Empfehlungen und verlosen heute ein reichelt-Package + Multimedia-Headset: http://t.co...	RT @reichelt_el: wir freuen wir wieder über euer #ff-Empfehlungen und verlosen heute eine reichelt-Package + Multimedia-Headset: http://t.co...	NE NN PPER VVFIN PPER ADV APPR PPOSAT NN KON VVFIN ADV ART ADJA KON ADJA NN	2/AG 0/-- 4/SB 0/-- 4/OA 4/MO 4/OP 9/NK 7/NK 4/CD 10/CJ 11/MO 17/NK 17/NK 14/CD 15/CJ 11/OA	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|Source::markable_76::Anaphref=empty|Sentiment::markable_75::Sentiment=True|*=True|Sentiment::markable_75::Sarcasm=false|Sentiment::markable_75::Intensity=medium|pers=1|num=pl|Source::markable_76::Source=True|Sentiment::markable_75::Polarity=positive mood=ind|EmoExpression::markable_104012285::Intensity=medium|Sentiment::markable_75::Sentiment=True|EmoExpression::markable_104012285::SubjectiveFact=false|EmoExpression::markable_104012285::EmoExpression=True|pers=1|EmoExpression::markable_104012285::Uncertain=false|EmoExpression::markable_104012285::Polarity=positive|num=pl|tense=pres|EmoExpression::markable_104012285::Sarcasm=false case=acc|pers=1|num=pl|Sentiment::markable_75::Sentiment=True Sentiment::markable_75::Sentiment=True Sentiment::markable_75::Sentiment=True case=acc|num=pl|Target::markable_78::Preferred=true|gender=fem|Target::markable_78::Target=True|Sentiment::markable_75::Sentiment=True|Target::markable_78::Anaphref=empty case=acc|gender=fem|Target::markable_78::Target=True|num=pl|Sentiment::markable_75::Sentiment=True _ pers=3|num=pl|tense=pres|mood=ind _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg|pos=True _ case=acc|gender=neut|num=sg|pos=True case=acc|gender=neut|num=sg
324575931178053632	positive	RT @MikaVolucer: Wenn ich zurück entfolge ist das nicht aus Trotz. Vielmehr stimme ich zu, dass wir nicht zueinander passen.	RT @MikaVolucer: wenn ich zurück entfolge sein die nicht aus Trotz. vielmehr stimmen ich zu, dass wir nicht zueinander passen.	NE NN KOUS PPER ADV NN VAFIN PDS PTKNEG APPR NN ADV VVFIN PPER NE KOUS PPER PTKNEG ADV ADJA	2/AG 0/-- 7/CP 7/SB 6/MO 7/PD 0/-- 7/SB 7/NG 7/MO 10/NK 13/MO 0/-- 13/SB 13/DA 20/CP 20/SB 19/NG 20/MO 13/MO	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=nom|*=True|num=sg|pers=1 _ pers=1|num=sg|tense=pres|mood=ind pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg _ _ case=dat|gender=fem|num=sg _ pers=1|num=sg|tense=pres|mood=ind case=nom|pers=1|num=sg|Source::markable_265::Source=True|*=True|Source::markable_265::Anaphref=empty pers=1|num=sg|tense=past|mood=ind _ case=nom|Target::markable_262::Anaphref=empty|Sentiment::markable_243::Sarcasm=false|*=True|Target::markable_262::Target=True|Sentiment::markable_243::Polarity=positive|pers=1|num=pl|Sentiment::markable_243::Intensity=medium|Sentiment::markable_243::Sentiment=True|Target::markable_262::Preferred=true Sentiment::markable_243::Sentiment=True|Negation::markable_264::Negation=True|Negation::markable_264::EmoExpressionRef=empty Sentiment::markable_243::Sentiment=True Sentiment::markable_243::Sentiment=True|pos=True
327112577547128834	neutral	Wenn ich mir den tat es. Datendurchsatz meiner #Telekom DSL-50 anschaue, werde ich schon seit Jahren um 50% gedrosselt. Wird das angerechnet?	wenn ich ich die tun es. Datendurchsatz mein #Telekom DSL-50 anschaue, werden ich schon seit Jahr um @card@ gedrosselt. werden die angerechnet?	KOUS PPER PPER PDS VVFIN ADJA NN PPOSAT NN CARD NE VAFIN PPER ADV APPR NN APPR CARD NN VAFIN ART ADJA	5/CP 5/SB 5/DA 5/OA 6/MO 0/-- 12/PD 9/NK 11/SB 11/NK 7/NK 0/-- 12/SB 15/MO 12/OC 15/NK 15/MO 19/NK 17/NK 0/-- 22/NK 20/SB	_ case=nom|*=True|num=sg|pers=1 case=dat|*=True|num=sg|pers=1 case=acc|gender=masc|num=sg pers=3|num=sg|tense=past|mood=ind case=acc|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ case=dat|gender=neut|num=pl _ _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True
322079937370660864	neutral	#Outlet #Uhren bei Amazon für kurze Zeit um bis zu 60% reduziert! Jetzt zuschlagen: http://t.co/NCT8Z8uPEJ	#Outlet #Uhren bei Amazon für kurz Zeit um bis zu @card@ reduziert! jetzt zuschlagen: http://t.co/NCT8Z8uPEJ	ADJA NN APPR NN APPR ADJA NN PTKVZ KON APPR CARD VVFIN ADV ADJA NN	12/MO 12/MO 12/MO 3/NK 4/MNR 7/NK 5/NK 12/MO 8/CD 11/MO 9/CJ 0/-- 14/MO 15/NK 0/--	_ pers=3|num=pl|tense=pres|mood=ind _ case=dat|gender=fem|num=sg _ case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg _ _ _ _ _ _ case=nom|gender=neut|num=pl|pos=True case=nom|gender=neut|num=pl
322416924539625472	positive	@willi21042003 Danke dir auch noch einen schönen abend:-D	@willi21042003 Dank du auch noch eine schön abend:-D	CARD NN PRF ADV ADV ART ADJA NN	0/-- 3/SB 8/DA 8/MO 8/MO 8/NK 8/NK 0/--	_ case=nom|EmoExpression::markable_104012288::Uncertain=false|EmoExpression::markable_104012288::Intensity=medium|*=True|EmoExpression::markable_104012288::EmoExpression=True|num=pl|EmoExpression::markable_104012288::Sarcasm=false|EmoExpression::markable_104012288::SubjectiveFact=false|EmoExpression::markable_104012288::Polarity=positive case=dat|*=True|num=sg|pers=2 _ _ case=acc|gender=masc|num=sg case=acc|EmoExpression::markable_81::SubjectiveFact=false|gender=masc|pos=True|EmoExpression::markable_81::Uncertain=false|num=sg|EmoExpression::markable_81::EmoExpression=True|EmoExpression::markable_81::Polarity=positive|EmoExpression::markable_81::Intensity=medium|EmoExpression::markable_81::Sarcasm=false case=acc|EmoExpression::markable_79::Polarity=positive|gender=masc|EmoExpression::markable_79::Intensity=medium|EmoExpression::markable_79::Sarcasm=false|EmoExpression::markable_79::SubjectiveFact=false|num=sg|EmoExpression::markable_79::Uncertain=false|EmoExpression::markable_79::EmoExpression=True
322702905213845506	negative	vermerk auf rentenwisch: bitte beachten sie die inflationsrate. ein betrag von 100Euro heute ist in 25 jahren nur noch etwa 69Euro wert. LOL	Vermerk auf rentenwisch: bitte beachten sie die inflationsrate. ein betragen von 100Euro heute sein in 25 Jahr nur noch etwa 69Euro wert. LOL	NN APPR ADJD ADV VVFIN PPER ART NE PTKVZ VVIMP APPR NE ADV VAFIN APPR CARD NN ADV ADV ADV NE NE NE	14/SB 1/MNR 2/NK 5/MO 3/OC 5/SB 8/NK 5/OA 5/SVP 5/OC 3/PG 11/NK 2/MO 0/-- 10/MO 17/NK 15/NK 22/MO 18/MO 22/MO 22/PNC 14/SB 0/--	case=nom|gender=neut|num=sg _ pos=True _ pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=3 case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg Target::markable_85::Anaphref=empty|Target::markable_85::Preferred=true|Sentiment::markable_84::Intensity=strong|Sentiment::markable_84::Sentiment=True|Sentiment::markable_84::Sarcasm=true|Target::markable_85::Target=True|Sentiment::markable_84::Polarity=negative Sentiment::markable_84::Sentiment=True|pos=True|Target::markable_85::Target=True Sentiment::markable_84::Sentiment=True|Target::markable_85::Target=True case=dat|gender=neut|num=sg|Target::markable_85::Target=True|Sentiment::markable_84::Sentiment=True Sentiment::markable_84::Sentiment=True|Target::markable_85::Target=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_84::Sentiment=True|Target::markable_85::Target=True Sentiment::markable_84::Sentiment=True|Target::markable_85::Target=True Sentiment::markable_84::Sentiment=True|Target::markable_85::Target=True case=dat|gender=neut|num=pl|Target::markable_85::Target=True|Sentiment::markable_84::Sentiment=True Sentiment::markable_84::Sentiment=True|Target::markable_85::Target=True Sentiment::markable_84::Sentiment=True|Target::markable_85::Target=True Sentiment::markable_84::Sentiment=True|Target::markable_85::Target=True case=nom|EmoExpression::markable_104012290::SubjectiveFact=false|*=True|Target::markable_85::Target=True|EmoExpression::markable_104012290::Uncertain=false|EmoExpression::markable_104012290::Intensity=medium|num=sg|EmoExpression::markable_104012290::EmoExpression=True|EmoExpression::markable_104012290::Polarity=positive|Sentiment::markable_84::Sentiment=True|EmoExpression::markable_104012290::Sarcasm=false case=nom|*=True|num=sg|Sentiment::markable_84::Sentiment=True case=nom|EmoExpression::markable_83::EmoExpression=True|*=True|EmoExpression::markable_83::Intensity=strong|num=sg|EmoExpression::markable_83::SubjectiveFact=false|EmoExpression::markable_83::Uncertain=false|Sentiment::markable_84::Sentiment=True|EmoExpression::markable_83::Polarity=positive|EmoExpression::markable_83::Sarcasm=true
328130320580882433	positive	RT @Mini_Styles1D: @jaquisolucky dieser pulli hat einfach mal unser Leben verändert.. haha	RT @Mini_Styles1D: @jaquisolucky dies Pulli haben einfach mal unser Leben verändert.. haha	NE ADJA NN PDAT NN VAFIN ADJD ADV PPOSAT NN NE NE	0/-- 1/UC 0/-- 5/NK 6/SB 0/-- 10/MO 10/MO 10/NK 6/OA 6/OA 0/--	case=nom|*=True|num=sg case=nom|*=True|Sentiment::markable_87::Sentiment=True|num=sg Sentiment::markable_87::Sentiment=True case=nom|num=sg|Target::markable_88::Anaphref=empty|Target::markable_88::Preferred=true|gender=masc|Sentiment::markable_87::Sentiment=True|Target::markable_88::Target=True case=nom|gender=masc|Sentiment::markable_87::Sentiment=True|num=sg|Target::markable_88::Target=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_87::Sentiment=True|Target::markable_88::Target=True Sentiment::markable_87::Sentiment=True|pos=True|Target::markable_88::Target=True Sentiment::markable_87::Sentiment=True|Target::markable_88::Target=True case=acc|gender=neut|Sentiment::markable_87::Sentiment=True|num=sg|Target::markable_88::Target=True case=acc|gender=neut|Sentiment::markable_87::Sentiment=True|num=sg|Target::markable_88::Target=True Sentiment::markable_87::Sentiment=True EmoExpression::markable_86::Sarcasm=false|EmoExpression::markable_86::Uncertain=false|EmoExpression::markable_86::Intensity=medium|EmoExpression::markable_86::Polarity=positive|Sentiment::markable_87::Sentiment=True|EmoExpression::markable_86::EmoExpression=True|EmoExpression::markable_86::SubjectiveFact=false
