324257473294917633	negative	Auf dem Tisch liegen Mozart Kugeln, ber ich will mich nicht bewegen... %NegSmiley	auf die Tisch liegen Mozart Kugeln, ber ich wollen ich nicht bewegen... %NegSmiley	APPR ART NN VVFIN NE NE VVFIN PPER VMFIN PPER PTKNEG ADJA ITJ	4/MO 3/NK 1/NK 0/-- 6/PNC 4/DA 4/MO 7/SB 7/MO 9/OA 9/NG 9/OC 12/NK	_ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=pl|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg Sentiment::markable_1::Sarcasm=false|Sentiment::markable_1::Intensity=medium|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Polarity=negative case=nom|Target::markable_3::Anaphref=empty|*=True|Target::markable_3::Preferred=true|Sentiment::markable_1::Sentiment=True|pers=1|num=sg|Target::markable_3::Target=True pers=1|num=sg|tense=pres|mood=ind|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=acc|pers=1|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=negative|EmoExpression::markable_2::EmoExpression=True|Sentiment::markable_1::Sentiment=True
318817823164096514	positive	Ah, Politik und Religion. Schon vorgemerkt. %PosSmiley ö1 journalpanorama	Ah, Politik und Religion. schon vorgemerkt. %PosSmiley ö1 journalpanorama	NE NN KON NE ADV VVPP ITJ CARD NN	2/AG 0/-- 2/CD 3/CJ 6/MO 0/-- 9/NK 9/NK 0/--	case=gen|*=True|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ _ EmoExpression::markable_49::Polarity=positive|EmoExpression::markable_49::Sarcasm=false|EmoExpression::markable_49::EmoExpression=True|EmoExpression::markable_49::SubjectiveFact=false|EmoExpression::markable_49::Uncertain=false|EmoExpression::markable_49::Intensity=medium _ gender=neut|*=True
332590423379935233	positive	Piratenpartei Migranten jetzt besser unterstützen! : Die Migraten bei uns werden finanziell zu... %Link Piraten Forum	Piratenpartei Migranten jetzt gut unterstützen! : die Migraten bei wir werden finanziell zu... %Link Pirat Forum	NN NN ADV ADJD VVFIN $. ART NN APPR PPER VAFIN ADJD ADJA XY NN NN	2/NK 5/OA 5/MO 5/MO 0/-- 11/-- 8/NK 11/SB 8/MNR 9/NK 0/-- 13/MO 11/OC 13/NK 0/-- 15/NK	case=nom|gender=masc|num=pl case=nom|gender=masc|num=pl _ EmoExpression::markable_100500232::Sarcasm=false|EmoExpression::markable_100500232::Polarity=positive|EmoExpression::markable_100500232::EmoExpression=True|comp=True|EmoExpression::markable_100500232::Uncertain=false|EmoExpression::markable_100500232::Intensity=medium|EmoExpression::markable_100500232::SubjectiveFact=false pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl _ case=dat|*=True|num=pl|pers=1 pers=3|num=pl|tense=pres|mood=ind pos=True case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=pl case=nom|gender=neut|num=sg
318970422139969536	neutral	Keine Unterstützung des Jüdischen Nationalfonds durch die SPD! %Link via %User	keine Unterstützung die jüdisch Nationalfonds durch die SPD! %Link via %User	PIAT NN ART ADJA NN APPR ART ADJA XY APPR NE	2/NK 0/-- 5/NK 5/NK 2/AG 2/MNR 8/NK 6/NK 0/-- 0/-- 10/NK	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=gen|gender=masc|num=sg case=gen|gender=masc|num=sg|pos=True case=gen|gender=masc|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True _ _ case=nom|gender=masc|num=sg
324240205345345536	negative	Hört auf eich zu beschweren wenn ihr nur die "2. Wahl" seid. Immerhin besser als garkeine zu sein, so wie ich.	hören auf eichen zu beschweren wenn ihr nur die "2. Wahl" seid. immerhin gut als garkeine zu sein, so wie ich.	VVFIN PTKVZ VVIMP PTKZU VVINF KOUS PPER ADV ART NN NN NE ADV ADJD KOKOM ADJD APPR NE ADV KOKOM ADJA	0/-- 1/SVP 2/NK 5/PM 1/OC 1/OP 1/DA 10/MO 10/NK 1/SB 10/NK 11/NK 14/MO 0/-- 16/CM 14/CC 16/MO 17/NK 14/MO 21/CM 19/CC	pers=2|num=pl|mood=imp _ pos=True _ EmoExpression::markable_100500346::EmoExpression=True|EmoExpression::markable_100500346::Uncertain=false|EmoExpression::markable_100500346::Intensity=medium|EmoExpression::markable_100500346::SubjectiveFact=false|EmoExpression::markable_100500346::Sarcasm=false|EmoExpression::markable_100500346::Polarity=negative _ case=dat|gender=fem|num=sg|pers=3 _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ comp=True _ case=nom|gender=fem|num=sg _ case=dat|*=True|num=sg _ _ case=dat|gender=fem|num=pl|pos=True
325849651381157888	neutral	Nochmal Klartext: Keine der etablierten Parteien im Bundestag hat im Innenausschuss des Bundesrats gegen die Bestandsdatenaue es...	nochmal Klartext: keine die etabliert Partei in Bundestag haben in Innenausschuss die Bundesrat gegen die Bestandsdatenaue es...	ADV NN PIAT ART ADJA NN APPRART NN VAFIN APPRART NN ART NN APPR ART NN ADJA	2/MO 9/SB 6/NK 6/NK 6/NK 2/AG 2/MNR 7/NK 0/-- 17/MO 10/NK 13/NK 11/AG 17/MO 16/NK 14/NK 9/OC	_ case=nom|gender=masc|num=sg case=acc|gender=masc|num=pl case=gen|gender=fem|num=pl case=gen|gender=fem|num=pl|pos=True case=gen|gender=fem|num=pl case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=gen|gender=neut|num=sg case=gen|gender=neut|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True
332944042407104512	negative	Neues von A. Merkel ? Alle wollten raus oder haben mit dem System geklüngelt ? Guckt nicht so ... Nichts neues ..!	Neue von A. Merkel ? alle wollen raus oder haben mit die System geklüngelt ? gucken nicht so ... nichts neu ..!	NN APPR NE NE $. PIS VMFIN ADV KON VAFIN APPR ART NN VVPP $. VVFIN PTKNEG ADV $. PIAT ADJA ADJA	0/-- 1/PG 4/PNC 2/NK 4/-- 7/SB 0/-- 7/MO 7/CD 9/CJ 14/MO 13/NK 11/NK 10/OC 14/-- 0/-- 16/NG 16/MO 18/-- 21/NK 0/-- 21/UC	case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=nom|*=True|num=pl pers=3|num=pl|tense=past|mood=ind _ _ pers=3|num=pl|tense=pres|mood=ind _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg EmoExpression::markable_100500233::SubjectiveFact=false|EmoExpression::markable_100500233::Polarity=negative|EmoExpression::markable_100500233::Sarcasm=false|EmoExpression::markable_100500233::Uncertain=false|EmoExpression::markable_100500233::EmoExpression=True|EmoExpression::markable_100500233::Intensity=medium _ pers=3|num=sg|tense=pres|mood=ind _ _ _ gender=neut|*=True case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg|pos=True
332217373539041281	positive	Die SPD Chancen zur Gabriel Steinbrück an Gabriel und bin bis jetzt immer gut gelaufen damit.	die SPD Chance zu Gabriel Steinbrück an Gabriel und sein bis jetzt immer gut laufen damit.	ART NE NN APPRART NE NN APPR NE KON VAFIN KON ADV ADV ADJD VVPP VVFIN	2/NK 16/SB 16/OA 3/MNR 6/NK 4/NK 6/MNR 7/NK 3/CD 9/CJ 10/CD 15/MO 14/MO 15/MO 11/CJ 0/--	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=pl case=dat|gender=fem|num=sg *=True case=nom|gender=neut|num=sg _ case=dat|gender=neut|num=sg _ pers=1|num=sg|tense=pres|mood=ind _ _ _ EmoExpression::markable_100500234::Uncertain=false|EmoExpression::markable_100500234::Polarity=positive|EmoExpression::markable_100500234::Sarcasm=false|EmoExpression::markable_100500234::Intensity=medium|EmoExpression::markable_100500234::EmoExpression=True|pos=True|EmoExpression::markable_100500234::SubjectiveFact=false _ pers=3|num=sg|tense=past|mood=ind
322839612030586880	neutral	Spitzenpolitiker der Union gehen hart mit SPD-Wahlprogramm ins Gericht	Spitzenpolitiker die Union gehen hart mit SPD-Wahlprogramm in Gericht	NN ART NN VVFIN ADJD APPR NN APPRART NN	4/SB 3/NK 1/AG 0/-- 4/MO 4/MO 6/NK 4/MO 8/NK	case=nom|gender=masc|num=pl case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg pers=3|num=pl|tense=pres|mood=ind pos=True _ case=dat|gender=fem|num=sg case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg
317744156283904000	positive	dann sollten wir gut regieren mit linker politik	dann sollen wir gut regieren mit links politik	ADV VMFIN PPER ADJD VVFIN APPR ADJA ADJA	2/MO 0/-- 2/SB 2/MO 2/OC 5/MO 8/NK 6/NK	_ pers=1|num=pl|tense=past|mood=subj case=nom|*=True|num=pl|pers=1 EmoExpression::markable_51::Intensity=medium|EmoExpression::markable_51::EmoExpression=True|EmoExpression::markable_51::Sarcasm=false|EmoExpression::markable_51::Uncertain=false|EmoExpression::markable_51::Polarity=positive|pos=True|EmoExpression::markable_51::SubjectiveFact=false pers=1|num=pl|tense=pres|mood=ind|Target::markable_50::Target=True|Target::markable_50::Preferred=true|Target::markable_50::Anaphref=empty _ case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg
334755236763824129	neutral	Merkel: "Es kann keinen Zugriff auf geistige Leistung geben, der völlig kostenlos ist" -...	Merkel: "Es können keine Zugriff auf geistig Leistung geben, die völlig kostenlos ist" -...	ADJA NN VMFIN PIAT NN APPR ADJA NN NE ART ADJD ADJD ADJA ADJA	2/NK 3/SB 0/-- 5/NK 3/SB 5/MNR 8/NK 6/NK 8/NK 13/NK 12/MO 13/MO 14/MO 3/MO	_ _ pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pos=True pos=True _ pos=True
318459896997740544	negative	Zypern will nicht raus aus dem Euro. Logisch, die wären ja blöde nicht erst die 10 Milliarden zu kassieren! cdu,#spd htt ...	Zypern wollen nicht raus aus die Euro. Logisch, die sein ja blöd nicht erst die 10 Milliarde zu kassieren! cdu,#spd htt ...	NE VMFIN PTKNEG ADV APPR ART NN NE ART VAFIN ADV ADJA PTKNEG ADV ART CARD NN APPR ADJA ADJA NN $.	2/SB 0/-- 2/NG 5/MO 2/MO 7/NK 5/NK 10/SB 12/NK 0/-- 12/MO 10/SB 14/NG 17/MO 17/MO 17/NMC 10/SB 19/PM 17/NK 21/NK 0/-- 21/--	case=nom|Source::markable_100500236::Anaphref=empty|gender=neut|Sentiment::markable_100500235::Sarcasm=false|num=sg|Sentiment::markable_100500235::Intensity=medium|Source::markable_100500236::Source=True|Sentiment::markable_100500235::Sentiment=True|Sentiment::markable_100500235::Polarity=negative EmoExpression::markable_100500237::Polarity=positive|mood=ind|EmoExpression::markable_100500237::Uncertain=false|EmoExpression::markable_100500237::Intensity=medium|EmoExpression::markable_100500237::Sarcasm=false|EmoExpression::markable_100500237::SubjectiveFact=false|pers=3|num=sg|tense=pres|EmoExpression::markable_100500237::EmoExpression=True|Sentiment::markable_100500235::Sentiment=True Negation::markable_100500238::Negation=True|Sentiment::markable_100500235::Sentiment=True|Negation::markable_100500238::EmoExpressionRef=empty Target::markable_100500239::Preferred=true|Target::markable_100500239::Target=True|Sentiment::markable_100500235::Sentiment=True|Target::markable_100500239::Anaphref=empty Target::markable_100500239::Target=True|Sentiment::markable_100500235::Sentiment=True case=dat|gender=neut|Target::markable_100500239::Target=True|num=sg|Sentiment::markable_100500235::Sentiment=True case=dat|gender=neut|num=sg case=nom|*=True|num=sg case=nom|gender=fem|num=pl pers=3|num=pl|tense=past|mood=subj _ EmoExpression::markable_52::EmoExpression=True|EmoExpression::markable_52::Uncertain=false|EmoExpression::markable_52::Intensity=medium|mood=subj|EmoExpression::markable_52::Polarity=negative|EmoExpression::markable_52::Sarcasm=false|pers=3|num=sg|tense=pres|EmoExpression::markable_52::SubjectiveFact=false _ _ case=acc|gender=masc|num=pl _ case=acc|gender=fem|num=pl _ case=acc|gender=fem|num=pl|pos=True _ _ _
334042651752005632	negative	steinbrück s "Kompetenz"team zeigt eindrucksvoll die Verlogenheit der linken Politik spd	steinbrück s "Kompetenz"team zeigen eindrucksvoll die Verlogenheit die links Politik spd	NN NN NN VVFIN ADJD ART NN ART ADJA NN ADJA	2/NK 4/SB 2/NK 0/-- 4/MO 7/NK 11/OA 10/NK 10/NK 7/AG 4/OC	pos=True case=nom|gender=neut|num=sg|pers=3 case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind pos=True case=acc|gender=fem|num=sg case=acc|EmoExpression::markable_100500348::Uncertain=false|EmoExpression::markable_100500348::Polarity=negative|EmoExpression::markable_100500348::Sarcasm=false|gender=fem|num=sg|EmoExpression::markable_100500348::Intensity=medium|EmoExpression::markable_100500348::SubjectiveFact=false|EmoExpression::markable_100500348::EmoExpression=True case=gen|gender=neut|num=pl case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg case=nom|gender=neut|num=pl|pos=True
332956897638494209	negative	Bei den pro-Argumenten stört mich die Populistik. Auch mit SMV können wir keine Entscheidungen im Bundestag treffen. bpt131	bei die pro-Argumenten stören ich die Populistik. auch mit SMV können wir keine Entscheidung in Bundestag treffen. bpt131	APPR ART NN VVFIN PRF ART NN ADV APPR NE VMFIN PPER PIAT NN APPRART NN NE CARD	4/MO 3/NK 1/NK 0/-- 4/OA 7/NK 4/SB 9/MO 11/MO 9/NK 0/-- 11/SB 14/NK 11/MO 14/MNR 15/NK 16/NK 17/PNC	Sentiment::markable_53::Sentiment=True|Sentiment::markable_53::Sarcasm=false|Sentiment::markable_53::Intensity=medium|Sentiment::markable_53::Polarity=negative case=dat|gender=fem|num=pl|Sentiment::markable_53::Sentiment=True case=dat|gender=fem|EmoExpression::markable_100500251::EmoExpression=True|num=pl|Sentiment::markable_53::Sentiment=True EmoExpression::markable_56::SubjectiveFact=false|EmoExpression::markable_56::EmoExpression=True|mood=ind|EmoExpression::markable_56::Intensity=medium|Sentiment::markable_53::Sentiment=True|EmoExpression::markable_56::Polarity=negative|EmoExpression::markable_56::Sarcasm=false|pers=3|num=sg|tense=pres|EmoExpression::markable_56::Uncertain=false case=acc|pers=1|num=sg|Sentiment::markable_53::Sentiment=True|*=True|Source::markable_55::Source=True|Source::markable_55::Anaphref=empty case=nom|num=sg|Target::markable_54::Target=True|Target::markable_54::Anaphref=empty|gender=fem|Sentiment::markable_53::Sentiment=True|Target::markable_54::Preferred=true case=nom|gender=fem|num=sg _ _ case=dat|*=True|num=sg pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=nom|gender=neut|num=sg _
338030757698211840	mixed	Schmeisst den ganzen Senat raus, oder singt einfach unsere Lieder zum BER-Desaster %PosSmiley BER Berlin	schmeißen die ganz Senat raus, oder singen einfach unser Lied zu BER-Desaster %PosSmiley BER Berlin	VVFIN ART ADJA NN NE KON VVFIN ADJD PPOSAT NN APPRART NN ITJ NE NE	0/-- 4/NK 4/NK 1/OA 4/NK 1/CD 6/CJ 7/MO 10/NK 7/OA 10/MNR 11/NK 14/NK 15/PNC 12/NK	mood=ind|EmoExpression::markable_100500244::Polarity=negative|Sentiment::markable_100500241::Sentiment=True|EmoExpression::markable_100500244::SubjectiveFact=false|EmoExpression::markable_100500244::Uncertain=false|EmoExpression::markable_100500244::EmoExpression=True|pers=3|num=sg|tense=pres|EmoExpression::markable_100500244::Intensity=strong|EmoExpression::markable_100500244::Sarcasm=false case=acc|num=sg|Target::markable_100500243::Preferred=true|Sentiment::markable_100500241::Sentiment=True|gender=masc|Target::markable_100500243::Target=True|Target::markable_100500243::Anaphref=empty case=acc|num=sg|Sentiment::markable_100500241::Sentiment=True|gender=masc|Target::markable_100500243::Target=True|pos=True case=acc|gender=masc|num=sg|Target::markable_100500243::Target=True|Sentiment::markable_100500241::Sentiment=True _ _ pers=3|num=sg|tense=pres|mood=ind pos=True case=acc|gender=masc|num=pl case=acc|gender=masc|num=pl case=dat|gender=masc|num=sg case=dat|EmoExpression::markable_100500240::Intensity=strong|EmoExpression::markable_100500240::Polarity=negative|gender=masc|EmoExpression::markable_100500240::SubjectiveFact=false|num=sg|EmoExpression::markable_100500240::EmoExpression=True|EmoExpression::markable_100500240::Sarcasm=false|EmoExpression::markable_100500240::Uncertain=false case=dat|EmoExpression::markable_57::SubjectiveFact=false|gender=masc|EmoExpression::markable_57::Polarity=positive|EmoExpression::markable_57::Uncertain=false|num=sg|EmoExpression::markable_57::Sarcasm=false|EmoExpression::markable_57::Intensity=medium|EmoExpression::markable_57::EmoExpression=True gender=fem|*=True|num=pl case=nom|gender=neut|num=sg
337372840657551360	neutral	Die Erfahrung mit der Personalpolitik von Frau Merkel bestätigt dies.	die Erfahrung mit die Personalpolitik von Frau Merkel bestätigt dies.	ART NN APPR ART NN APPR NN NE ADJD ADJA	2/NK 10/SB 2/MNR 5/NK 3/NK 5/PG 6/NK 7/NK 10/MO 0/--	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=nom|gender=fem|num=sg case=dat|gender=fem|num=sg _ gender=fem|*=True
322872297549606912	neutral	Politik aktuell: die Kandidaten zur Landtagswahl 2013 im Wahlkreis Oldenburg Mitte-Süd	Politik aktuell: die Kandidat zu Landtagswahl @card@ in Wahlkreis Oldenburg Mitte-Süd	NN ADJD ART NN APPRART NN CARD APPRART NN NE NN	0/-- 1/MNR 4/NK 2/NK 4/MNR 5/NK 6/NK 6/MNR 8/NK 9/NK 1/PD	case=nom|gender=fem|num=sg pos=True case=acc|gender=masc|num=pl case=acc|gender=masc|num=pl case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg
337332684894371841	negative	klar jemand der die linke wählt hat keine 7Euro für ein Mittagessen, tut mir leid mein Fehler.	klar jemand die die links wählen haben keine 7Euro für eine Mittagessen, tun ich leid mein Fehler.	ADJD PIS ART ART ADJA VVFIN VAFIN PIAT NN APPR ART NE VVFIN PPER ADJD PPOSAT NN	2/MO 7/SB 6/NK 5/NK 6/OA 2/RC 0/-- 9/NK 13/OA 9/MNR 12/NK 10/NK 7/OC 13/DA 13/MO 17/NK 13/OA	pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True _ pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg Sentiment::markable_58::Intensity=medium|mood=ind|EmoExpression::markable_60::SubjectiveFact=false|Sentiment::markable_58::Sarcasm=false|EmoExpression::markable_60::Uncertain=false|pers=3|EmoExpression::markable_60::Polarity=negative|Sentiment::markable_58::Sentiment=True|num=sg|tense=pres|EmoExpression::markable_60::EmoExpression=True|Sentiment::markable_58::Polarity=negative|EmoExpression::markable_60::Sarcasm=false|EmoExpression::markable_60::Intensity=medium case=dat|*=True|pers=1|Source::markable_100500245::Source=True|Sentiment::markable_58::Sentiment=True|num=sg|EmoExpression::markable_60::EmoExpression=True|Source::markable_100500245::Anaphref=empty Sentiment::markable_58::Sentiment=True|pos=True|EmoExpression::markable_60::EmoExpression=True case=acc|Sentiment::markable_58::Sentiment=True|num=sg|Target::markable_59::Anaphref=empty|gender=neut|Target::markable_59::Preferred=true|Target::markable_59::Target=True case=acc|gender=neut|num=sg
332630679043072000	positive	Mein Anti-Belästigungs-Konzept für die Piratenpartei: %Link Wer mag mich dabei unterstützen?	mein Anti-Belästigungs-Konzept für die Piratenpartei: %Link wer mögen ich dabei unterstützen?	PPOSAT NN APPR ART NN XY PWS VMFIN PRF PAV ADJA	2/NK 8/SB 2/MNR 5/NK 3/NK 5/NK 8/SB 0/-- 11/OA 11/NK 8/SB	case=nom|num=sg|Sentiment::markable_100500247::Polarity=positive|gender=masc|Sentiment::markable_100500247::Intensity=medium|Sentiment::markable_100500247::Sentiment=True|Sentiment::markable_100500247::Sarcasm=false case=nom|Target::markable_100500248::Anaphref=empty|num=sg|Target::markable_100500248::Preferred=true|Target::markable_100500248::Target=True|gender=masc|Sentiment::markable_100500247::Sentiment=True Sentiment::markable_100500247::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_100500247::Sentiment=True case=acc|gender=fem|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|*=True|num=sg|pers=1 _ case=nom|gender=neut|num=pl|pos=True
324973110950494209	positive	Hamburg - Atemberaubende Porträtfotografie %Link via %User Versteigerung zu Gunsten von %User syrien	Hamburg - atemberaubend Porträtfotografie %Link via %User Versteigerung zu Gunst von %User syrien	NE $( ADJA NN XY APPR NE NN APPR NN APPR NE ADJA	13/SB 1/-- 4/NK 1/APP 0/-- 4/MNR 8/PNC 6/NK 8/MNR 9/NK 10/PG 11/NK 0/--	case=nom|gender=neut|num=sg _ case=nom|EmoExpression::markable_100500254::Polarity=positive|Sentiment::markable_100500252::Sentiment=True|EmoExpression::markable_100500254::Sarcasm=false|gender=neut|EmoExpression::markable_100500254::SubjectiveFact=false|pos=True|Sentiment::markable_100500252::Intensity=strong|num=pl|EmoExpression::markable_100500254::Uncertain=false|EmoExpression::markable_100500254::Intensity=strong|Sentiment::markable_100500252::Polarity=positive|Sentiment::markable_100500252::Sarcasm=false|EmoExpression::markable_100500254::EmoExpression=True case=nom|Target::markable_100500253::Preferred=true|num=sg|Target::markable_100500253::Anaphref=empty|gender=fem|Sentiment::markable_100500252::Sentiment=True|Target::markable_100500253::Target=True case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=dat|gender=fem|num=pl _ case=dat|*=True|num=sg case=dat|gender=fem|num=pl|pos=True
335136875205509120	positive	Lohnerhöhung: CDU fordert mehr Geld für Berliner Beamte Die CDU-Fraktion will den öffentlichen Dienst attraktiver	Lohnerhöhung: CDU fordern mehr Geld für Berliner Beamter die CDU-Fraktion wollen die öffentlich Dienst attraktiv	NN NE VVFIN PIAT NN APPR ADJA NN ART NN VMFIN ART ADJA NN ADJA	3/SB 1/NK 0/-- 5/NK 3/OA 5/MNR 8/NK 6/NK 10/NK 11/SB 3/CJ 14/NK 14/NK 15/OA 11/OC	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind *=True case=acc|gender=neut|num=sg _ *=True|pos=True case=acc|gender=masc|num=pl case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg case=gen|EmoExpression::markable_61::Polarity=positive|EmoExpression::markable_61::SubjectiveFact=false|EmoExpression::markable_61::Sarcasm=false|gender=fem|EmoExpression::markable_61::Intensity=medium|pos=True|num=sg|EmoExpression::markable_61::Uncertain=false|EmoExpression::markable_61::EmoExpression=True
325844292465737728	positive	Telmi Internet | web | Sonntagsfrage: Union legt weiter zu: Die Union kann in der Gunst der Wähler weiter...	Telmi Internet | weben | Sonntagsfrage: Union legen weiter zu: die Union können in die Gunst die Wähler weiter...	NN NN XY VVIMP XY ADJA NN VVFIN ADV VVFIN ART NN VMFIN APPR ART NN ART NN ADJA	8/SB 1/NK 0/-- 7/NK 0/-- 7/NK 1/AG 0/-- 8/MO 8/SVP 12/NK 13/SB 8/CJ 19/MO 16/NK 14/NK 18/NK 16/AG 13/OC	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=ind *=True *=True case=gen|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=sg case=dat|EmoExpression::markable_100500255::Polarity=positive|EmoExpression::markable_100500255::EmoExpression=True|gender=fem|num=sg|EmoExpression::markable_100500255::Uncertain=false|EmoExpression::markable_100500255::Intensity=medium|EmoExpression::markable_100500255::Sarcasm=false|EmoExpression::markable_100500255::SubjectiveFact=false case=gen|gender=masc|num=pl case=gen|gender=masc|num=pl case=gen|gender=masc|num=pl|pos=True
335168924498944001	negative	ja er hatte keine andere wahl, als sie ANAL zu vergewaltigen domian determinismus	ja er haben keine andere wahl, als sie anal zu vergewaltigen domian determinismus	ADV PPER VAFIN PIAT PIS ADJD KOKOM PPER ADJD PTKZU VVINF VVFIN NN	2/MO 3/SB 0/-- 13/NK 13/NK 12/MO 8/CM 6/CC 11/MO 11/PM 8/OC 13/NK 3/OA	_ case=nom|gender=masc|num=sg|pers=3 pers=3|num=sg|tense=past|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg pos=True _ case=nom|*=True|num=pl|pers=3 pos=True _ EmoExpression::markable_100500256::Uncertain=false|EmoExpression::markable_100500256::Polarity=negative|EmoExpression::markable_100500256::Sarcasm=false|EmoExpression::markable_100500256::Intensity=medium|EmoExpression::markable_100500256::SubjectiveFact=false|EmoExpression::markable_100500256::EmoExpression=True pers=3|num=sg|tense=past|mood=ind case=nom|gender=masc|num=sg
317745780247113729	negative	Nordkorea-Krise: Kim droht "US-Imperialisten" mit Raketen-Bereitschaft crazy	Nordkorea-Krise: Kim drohen "US-Imperialisten" mit Raketen-Bereitschaft crazy	NN NE VVFIN NN APPR NN ADJD	3/SB 1/NK 0/-- 3/SB 3/MO 5/NK 3/SVP	case=nom|gender=masc|num=sg case=nom|Sentiment::markable_100500258::Polarity=negative|Source::markable_100500259::Source=True|Sentiment::markable_100500258::Sarcasm=false|gender=masc|Sentiment::markable_100500258::Intensity=medium|num=sg|Sentiment::markable_100500258::Sentiment=True|Source::markable_100500259::Anaphref=empty EmoExpression::markable_100500260::Uncertain=false|EmoExpression::markable_100500260::Intensity=medium|mood=ind|EmoExpression::markable_100500260::Polarity=negative|EmoExpression::markable_100500260::EmoExpression=True|pers=3|num=sg|tense=pres|Sentiment::markable_100500258::Sentiment=True|EmoExpression::markable_100500260::SubjectiveFact=false|EmoExpression::markable_100500260::Sarcasm=false pos=True|Sentiment::markable_100500258::Sentiment=True Sentiment::markable_100500258::Sentiment=True case=dat|gender=fem|num=sg|Sentiment::markable_100500258::Sentiment=True pos=True
